step,ego_vid,cri_left,cri_right,alert_left,alert_right,scenario_type,top_threat,top_cri
505,bsd_demo_11,0.0,0.6189732184296769,SAFE,WARNING,HNR,bsd_demo_12,0.6189732184296769
506,bsd_demo_11,0.0,0.35473895277564776,SAFE,CAUTION,HNR,bsd_demo_12,0.35473895277564776
511,bsd_demo_12,0.3748467303717615,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.3748467303717615
512,bsd_demo_12,0.44214369071592285,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.44214369071592285
513,bsd_demo_12,0.4090039274401132,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.4090039274401132
514,bsd_demo_12,0.5910886944382981,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.5910886944382981
515,bsd_demo_11,0.0,0.5615504772674241,SAFE,CAUTION,HNR,bsd_demo_12,0.5615504772674241
515,bsd_demo_12,0.5841605462350256,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.5841605462350256
516,bsd_demo_11,0.0,0.588930660531463,SAFE,CAUTION,HNR,bsd_demo_12,0.588930660531463
516,bsd_demo_12,0.6673186532299574,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.6673186532299574
517,bsd_demo_11,0.0,0.4956178407744884,SAFE,CAUTION,HNR,bsd_demo_12,0.4956178407744884
517,bsd_demo_12,0.7079635436631353,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.7079635436631353
518,bsd_demo_11,0.0,0.47562233485517913,SAFE,CAUTION,HNR,bsd_demo_12,0.47562233485517913
518,bsd_demo_12,0.6702484702017453,0.0,WARNING,SAFE,HNR,bsd_demo_11,0.6702484702017453
519,bsd_demo_11,0.0,0.32421961580671116,SAFE,CAUTION,HNR,bsd_demo_12,0.32421961580671116
519,bsd_demo_12,0.659175668801188,0.0,WARNING,SAFE,HNR,bsd_demo_11,0.659175668801188
520,28,0.7419656556437346,0.0,WARNING,SAFE,HNR,9,0.7419656556437346
520,bsd_demo_11,0.0,0.4625250982218105,SAFE,CAUTION,HNR,bsd_demo_12,0.4625250982218105
520,bsd_demo_12,0.6147151642398258,0.0,WARNING,SAFE,HNR,bsd_demo_11,0.6147151642398258
521,bsd_demo_12,0.6390766138044157,0.0,WARNING,SAFE,HNR,bsd_demo_11,0.6390766138044157
522,bsd_demo_12,0.7378598185458423,0.0,WARNING,SAFE,HNR,bsd_demo_11,0.7378598185458423
523,bsd_demo_12,0.7270312781885975,0.0,WARNING,SAFE,HNR,bsd_demo_11,0.7270312781885975
524,bsd_demo_12,0.5732009884420087,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.5732009884420087
524,bsp_33,0.0,0.5707884157274697,SAFE,CAUTION,HNR,bsp_31,0.5707884157274697
525,bsd_demo_12,0.6270030506276754,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.6270030506276754
525,bsp_33,0.0,0.5414338095648995,SAFE,CAUTION,HNR,bsp_31,0.5414338095648995
526,bsd_demo_12,0.7478187708616347,0.0,CAUTION,SAFE,HNR,bsd_demo_11,0.7478187708616347
526,bsp_33,0.0,0.4636451716063039,SAFE,CAUTION,HNR,bsp_31,0.4636451716063039
548,bsp_34,0.6055334346872104,0.0,WARNING,SAFE,normal,bsp_35,0.6055334346872104
549,bsp_34,0.46943014637540215,0.0,CAUTION,SAFE,normal,bsp_35,0.46943014637540215
